user_address,total_debt_usd,total_collateral_usd,health_factor
0xbe55fdda3a56055b7a3b9c99893be53fd111237a,35634405.59,38410035.92,0.8623
0x4f962bb0ea0785c539f8ab52a17f1f873ddc355f,35510778.24,38247235.91,0.8724
0x9938a09fea37ba681a1bd53d33ddde2debec1da0,35433214.89,43491820.86,0.9206
0xc9db4e8d3d940c16b800d433d168d2f651025642,34343285.50,61745094.60,1.4023
0x033c208a1626b78e8258ad3e8ee0e6d923cbe709,34035303.64,62945751.65,1.3871
0x63950cfd75e2290a3581b6b0e39c86bc11697d5b,34019532.52,40836279.61,0.9003
0x7055b17a1b911b6b971172c01ff0cc27881aea94,33908494.49,122124843.42,2.8092
0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,33278568.82,77305223.89,1.9275
0xd48573cda0fed7144f2455c5270ffa16be389d04,32407507.42,167064291.76,4.0210
0x6a8018b0ebc017a6532d96be8cff9f3f9ed16f8b,32381389.64,35632680.08,0.8803
0x28355886a65848488cf0a3646fca395db0a762b1,32302669.89,64386945.96,1.5547
0xfe99cc4664a939f826dbeb545c1aad4c89ee737a,32210058.16,43757311.14,1.0596
0x85f431344c0798b87337bfbbaf482e3e9c23e857,31947199.88,35159011.73,0.8804
0x3b3f03015b479b734f41b77dd72851e676d0f406,31485939.86,0.00,0.0000
0xd1a2d9df5db842da2ee81075fa441602b2352915,31442421.16,34888014.52,0.8877
0xf4eee06aea972a13b77f326a185bf29d893ae674,30369548.58,32644439.94,0.8599
0x91cfbce901ebec39e5fcd4416893a5632b6da004,30326703.44,48666880.80,1.2943
0xa260b049ddd6567e739139404c7554435c456d9e,29927108.21,32640496.44,0.8834
0x5130985ce6a0e54f369712cd6f2fdec084026e54,29545245.38,55324604.32,1.4642
0xc81b6381bf13ac1dd80ad44775958c91bf962502,29366043.74,31856862.37,0.8679
0x77a56647fba0eb60abb7395574cded565f6f94f6,29162255.40,67021997.15,1.8567
0x2572223f5df9b5889e99554152e91e32c8e8a03b,29149431.11,32247662.16,0.8297
0xf368d43f148e1803ec793670183b0ca6a07d3898,29140795.06,56467385.75,1.5823
0x08c6f91e2b681faf5e17227f2a44c307b3c1364c,28937429.32,48769379.11,1.2640
0xc92478912779758b8f757230ec816d3a47c52fe2,28917668.49,33855953.21,0.9483
0x8c0824ffccbe9a3cdda4c3d409a0b7447320f364,28487130.13,41993141.66,1.1299
0xc1914872a1dd8e7a39ac6d5ee0d6fa9fcecf001e,28194695.97,31342291.99,0.8893
0x2269ce2753e2967dd5322a56188c3d24435b3588,28161639.81,58208014.84,1.7155
0x962bdd83c3943fe08b62101fd9f9a8b923a0b475,27114293.21,29465328.05,0.8694
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,25424483.15,59491868.81,1.8252
0xe67112647b7aea8b7490f27e1c75208868138df2,25378421.01,36697444.96,1.2002
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,25339898.18,236858129.94,7.7065
0x630fd551ec58a6ea3b65714df737d294a1936ca1,25147545.36,29766255.53,0.9588
0x26a58af72eff53ddaa064a9df86e8ec3184bee95,24983973.28,39797501.52,1.2425
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,24792430.00,26735690.26,0.8627
0x372cae7fa19b81a9786a9081704ea1e2dad576b7,24310301.27,49979164.20,1.5625
0x04b35d8eb17729b2c4a4224d07727e2f71283b73,23596399.31,42191848.73,1.4483
0xbcaf70ef342378755e82c9f374225604f04a36e3,23244870.56,24969063.44,0.8593
0x94e96e1b9b8c7ecf8ddb37a379e6bbeffa057c93,23226540.76,42027669.99,1.4653
0x01d1f55d94a53a9517c07f793f35320faa0d2dcf,22991797.30,38479994.36,1.3535
0x931433324e6b0b5b04e3460ef3fb3f78dda3c721,22481373.69,32689413.80,1.1342
0xfec2adfa296fe189f53089fd5ccd8c28dd559cf2,21715165.15,25363985.23,0.8760
0x236f968b3e9cc45d6d86bc95386a27c8051ab1ce,21184022.92,45454834.00,1.6093
0x7546966122e636a601a3ea4497d3509f160771d8,21117551.81,42475315.71,1.5689
0xab5a28b6ca2d1e12fe5acc7341352d5032b74438,20905857.51,30849154.40,1.1980
0x3b94e9fa105551b700e4965bf13db3153bb26557,20838352.99,60582476.46,2.3417
0x66466428990e0f42a4c54f64bee0db6bf2336de5,20835855.65,28083677.83,1.0921
0x011b09fa6a0a508e0f11e4a97c50eed4d2c1a85c,20470438.69,36617371.37,1.3953
0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,20390473.00,26819239.97,1.0473
0x277786ef4715e0b7b4ecd7932157898389f78ddd,20242817.28,21537225.69,0.7980
0x90d443b372b2a1212dda03c9b56c4e622688e981,20202242.98,37312678.27,1.3852
0xb7387e11060d14fe5db69880f24ce66d1f8cfe1a,19708535.88,49032439.09,1.9764
0xa3bcf996fd1cdd1f357b5a1eed0a39ceaaebd422,19422221.94,22583563.99,0.8721
0xff43c5727fbfc31cb96e605dfd7546eb8862064c,18830551.37,23055933.28,0.9183
0x4c09dd7c598b12c781c4b5d74d245a1784a2e148,18797160.45,20686111.82,0.8804
0x7576b7a1d278e3004dd37bbeb90e0b08ca70a1b9,18522251.57,19906663.57,0.8598
0x25d2477f89fb29f6956c45d4dfda9d29eb187f4e,18494254.29,32356301.36,1.3646
0xae5a33bddc2944f372142a84cd5c4f78c990ee78,18450739.39,37632862.60,1.6929
0x54b338e6cfd605dad2264b96b0a730fb2bdca9e4,18175526.83,40221402.62,1.7891
0xb99a2c4c1c4f1fc27150681b740396f6ce1cbcf5,17999885.34,48583824.18,2.1593
0xb2c763b898a246d6562d7566fab4fd1dad586934,17935103.48,20119466.19,0.8413
0x834bd54eae7edd442637375b9be9ba2a9ad28389,17662184.84,40365601.09,1.7826
0xb5c98c0d2861d39c538aff4e87cee946ffa1adf4,17619319.93,37500680.19,1.6648
0xefe7e52a3dc060a6e1d08a9486fe550ff369e464,17533258.18,20025036.37,0.8566
0x6b2563826bc176fda2099c47567f447fc32cc5b7,17519751.09,28695857.91,1.2788
0xd5b32c3e9021c8b6c73f6b86e5652693d4be4ab5,17136311.68,19349669.99,0.9119
0x06c05fbac28826fa24b5fe806f239277d8b5a9fd,17130005.37,19813029.19,0.9265
0x079e5016e76098e664499d2ec36d56aa1bc9f5e0,17121032.35,18444808.77,0.8619
0xbb1aca5df175b5f0268fdd53e53c1bef3ced02c7,16987478.39,30120277.54,1.4717
0x931bf367dad3f181af5304961bc5092722eea8aa,16952856.91,30665675.62,1.5014
0xce344e5ad5bab578601cbf8ad103506588d38455,16905680.13,19334810.45,0.8578
0x109b304ab7eee74dafc93e3b04eae7001d7a295f,16521719.51,50871167.54,2.5399
0x82de027c44006fe4260dce1e1861b04fc4811b71,16336453.57,22987288.03,1.1257
0x691cb02bf62a0bb2397bfae9a55f7380d415fff2,16132048.50,38915859.30,1.9128
0x949b9e1cdf8ff927e89d45229793c62206b858ee,16026913.44,27843010.47,1.4419
0xab59403c721eaa64a850474e63919573c0f0b767,15944801.03,0.00,0.0000
0x2735a560ca4a5ec14776a2cef36280f17a980cd2,15898879.51,17601044.55,0.8967
0xed0c6079229e2d407672a117c22b62064f4a4312,15805811.55,119531675.05,6.1175
