scenario,bad_debt_usd
364,1338498144.3665519
365,1320997037.6305583
366,1382248013.0129125
367,1336473386.2303522
368,1390327186.6811733
369,1341808902.5223145
370,1413889086.8959439
371,1347540937.3698924
372,1385557344.3947632
373,1387560225.4244335
374,1332112845.0385015
375,1340241772.2843337
376,1356393843.7344413
377,1356752508.029715
378,1398084832.687487
379,1384869451.2612062
380,1403822870.6141822
381,1354359041.430748
382,1355037747.2390902
383,1319236801.9105673
384,1324099283.0905845
385,1333888045.297776
386,1401406630.657697
387,1375130860.1699176
388,1324589257.7082953
389,1312981794.048787
390,1328545459.0902185
391,1372077014.9821167
392,1361859514.1115706
393,1364243980.6988122
394,1322613396.4081554
395,1336338432.2561746
396,1297901379.5136924
397,1351804876.7631118
398,1325496016.2568269
399,1409296725.8545313
400,1412018509.9939516
