user_address,symbol,amount,amount_usd,price_usd
0xbf7ea95ab6f509b3b446c4d96a06d68a5c6e35ee,USDT,13400000.000001000000000000,13399914.64,0.99999363
0x666073af75b8d2e6e9efea414db566494e61aafe,USDT,13210295.264300000000000000,13210211.11,0.99999363
0x1e2799e0071e535468097e04ad23b9fe3ae5a6a5,WETH,4665.164162799427000000,13178803.85,2824.93892778
0x941ad3ebd8321797b9b53a87ade232e5d85973d1,DAI,13150125.090565667000000000,13144588.89,0.99957900
0x4debdd6cee25b2f931d2fe265d70e1a533b02453,USDC,13107731.854540000000000000,13103937.69,0.99971054
0xb7fb2b774eb5e2dad9c060fb367acbdc7fa7099b,USDC,12963891.574926000000000000,12960139.05,0.99971054
0xf897450613f4b581ce3e3d87f04fcf9dc55c7354,WETH,4557.071605972315000000,12873448.98,2824.93892778
0xc0979af67786f30dea9335665592d6813b21b819,WETH,4526.438198149464000000,12786911.47,2824.93892778
0x16674814ea6a7aac3decb877ea8fd01deb5c333d,USDT,12768941.044266000000000000,12768859.71,0.99999363
0x324c0cbdeb97d58096d630176b1b247684d534cb,USDC,12616230.466888000000000000,12612578.57,0.99971054
0x4bacce55f0991cfc4d919f7f50edb8be028e37df,WETH,4390.280197143749000000,12402273.43,2824.93892778
0x855904de035c9d86a301af364159e7237b2536c0,USDC,12346516.183227000000000000,12342942.36,0.99971054
0xe71803deea7a37f38e29c04e15b0a432416f0204,USDT,12326613.759950000000000000,12326535.24,0.99999363
0x28355886a65848488cf0a3646fca395db0a762b1,PYUSD,12322000.000001000000000000,12317814.22,0.99966030
0x5c430ff6f374da12218b380d2040299ae5b6d40e,USDe,12297474.374735326000000000,12288076.52,0.99923579
0x2f881f41af772808b848c382370710dca0415bf9,WETH,4317.413032252644000000,12196428.14,2824.93892778
0x0abf5fa8745a406c05300ce6791d4c83f8728372,WETH,4289.321018250941000000,12117069.92,2824.93892778
0x81ebde24453b8e40454616579ea79c79a197699d,RLUSD,12111134.158138951000000000,12106798.37,0.99964200
